"attitude1_01"	"attitude1_02"	"attitude1_03"	"attitude1_04"	"intent1_01"	"intent1_02"	"intent1_03"	"intent1_04"	"peruse01"	"peruse02"	"peruse03"	"peruse04"	"satis01"	"satis02"	"satis03"	"satis04"
7	7	7	7	7	7	7	7	7	7	7	7	6	6	6	6
6	6	5	5	7	7	7	6	6	5	7	7	6	6	6	4
5	6	6	6	6	6	6	6	6	6	6	6	4	4	4	4
6	6	5	5	6	6	6	6	6	6	6	5	5	5	5	5
6	6	5	5	5	5	5	5	6	4	6	6	4	3	4	3
4	4	4	4	5	5	5	5	5	4	3	3	5	5	5	5
6	7	6	6	6	6	6	6	3	3	4	2	5	6	7	6
5	7	5	6	7	7	7	7	7	6	7	7	6	7	6	7
7	7	6	6	7	6	7	6	6	5	7	5	6	6	6	6
6	5	5	5	6	5	6	5	6	4	6	6	6	5	5	5
7	7	7	7	7	7	7	6	6	5	7	7	6	5	6	5
6	5	7	7	6	4	3	5	6	6	7	7	6	7	5	4
6	6	6	6	7	7	7	5	7	6	6	6	6	6	6	5
5	4	4	5	5	5	4	4	5	4	5	4	4	4	4	4
7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
6	6	6	6	5	4	4	5	5	5	5	5	5	5	5	5
6	6	6	6	5	5	5	5	5	3	5	3	5	5	5	5
4	4	4	3	3	3	5	4	3	2	2	4	4	4	4	4
7	7	7	7	7	7	7	7	6	6	6	6	5	6	6	6
4	3	4	4	4	2	6	4	5	5	4	4	4	4	4	4
5	5	6	5	4	4	4	4	6	5	5	5	4	4	4	3
6	5	4	5	7	6	7	6	7	6	6	6	5	4	3	5
5	5	5	5	4	4	4	4	5	6	5	5	5	5	4	4
6	6	6	6	6	6	6	6	6	6	6	6	5	5	5	4
6	6	6	6	6	6	6	6	5	5	5	5	4	4	4	4
7	5	6	6	7	6	6	7	7	5	5	5	6	6	6	5
6	7	6	7	7	7	7	7	6	6	6	6	5	5	5	5
6	6	6	6	7	7	7	7	6	6	6	4	5	6	6	6
4	4	4	4	3	3	3	3	2	2	2	2	3	3	3	3
6	5	5	5	6	6	6	6	6	5	5	5	6	6	6	6
7	7	7	7	7	7	7	7	6	5	7	6	7	7	7	7
5	5	5	5	6	6	6	6	6	6	6	6	6	6	6	6
5	5	4	3	5	2	5	5	5	5	5	5	5	5	3	5
4	5	4	4	6	6	6	5	6	3	4	4	4	4	4	4
4	4	4	4	6	5	5	5	5	4	5	5	5	5	5	5
5	5	5	5	5	5	6	6	4	5	5	5	5	6	5	6
7	7	7	7	7	7	7	7	7	7	6	6	6	7	6	6
7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7	6	6	6	6
5	7	5	6	4	5	7	4	5	4	6	6	4	4	4	4
6	6	5	6	6	6	6	6	5	6	6	5	5	6	5	5
6	6	6	6	6	6	6	5	6	6	6	6	6	6	5	5
7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	5	5	5	5	6	6	6	6	6	6	6	6
6	5	5	5	5	4	5	4	6	6	5	5	4	4	5	4
7	7	6	6	7	7	7	6	7	6	6	5	7	7	7	7
6	6	5	6	6	6	6	5	6	6	6	6	5	5	5	5
6	5	6	6	6	5	6	5	6	6	6	6	6	6	5	6
6	6	5	5	7	7	7	7	5	5	6	5	6	5	6	6
6	4	6	6	6	6	6	6	6	6	6	7	4	2	1	4
6	6	6	6	7	6	6	5	6	5	6	5	2	2	1	4
7	6	7	7	7	7	7	7	6	7	7	5	6	6	6	6
4	5	4	5	5	5	5	4	5	5	6	6	4	4	5	5
5	4	4	4	6	5	6	5	6	4	5	5	5	4	5	4
7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
5	5	5	5	6	6	6	6	6	6	6	6	6	6	6	6
6	6	6	5	7	7	6	5	5	6	6	6	5	5	6	5
7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	6	5	7	5	6	7	7	6
7	7	7	7	7	7	7	7	5	6	7	7	7	6	7	6
7	7	7	7	7	6	6	6	6	6	7	7	7	7	7	7
4	2	3	5	5	3	5	2	5	4	3	6	3	2	5	3
7	7	6	6	7	7	7	6	7	6	7	7	6	5	4	5
6	6	4	4	6	6	6	6	5	4	5	5	6	6	6	6
6	6	6	6	5	5	5	5	5	6	5	5	5	5	5	6
7	7	7	7	7	7	7	7	6	7	7	7	6	6	6	6
7	7	7	6	7	7	7	6	6	6	7	6	5	6	6	6
7	7	7	7	7	7	7	7	7	6	6	6	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	6	5	6	6	3	3	5	4
3	3	4	5	4	4	4	4	1	1	1	1	2	3	4	3
5	6	4	5	6	6	5	4	5	4	5	5	5	6	4	5
6	6	6	6	7	7	7	7	1	2	2	2	7	7	7	7
7	7	7	7	7	7	7	7	7	4	7	7	7	7	7	7
6	7	5	5	7	6	7	5	6	7	5	6	3	3	5	4
7	7	7	7	7	7	7	7	7	6	6	6	6	6	6	6
5	5	5	5	5	5	5	5	7	3	7	6	4	4	4	4
6	5	4	5	5	4	6	5	6	6	6	6	4	4	4	4
6	6	5	5	7	7	7	5	5	5	6	6	6	6	6	5
7	7	6	6	7	7	7	7	7	7	7	7	6	6	6	5
6	7	5	6	6	5	6	5	5	6	6	6	5	6	4	5
6	7	6	5	6	7	7	6	5	4	6	5	5	6	7	6
5	4	5	5	4	5	5	5	5	4	5	5	4	4	4	4
7	7	6	7	7	7	7	6	6	6	7	7	7	7	7	6
5	5	5	5	5	5	5	5	5	5	5	4	5	5	4	5
5	6	4	4	6	5	5	5	5	5	6	6	6	6	6	6
4	5	4	4	6	5	7	5	6	6	7	6	6	6	6	5
6	6	6	6	6	6	6	5	5	6	6	5	5	5	5	5
5	5	5	5	5	4	5	5	6	5	5	5	5	5	5	4
6	7	6	6	6	7	7	5	6	6	7	6	5	5	6	6
6	7	5	5	6	5	6	6	6	6	6	7	6	5	5	5
7	7	7	6	7	7	6	7	6	6	7	7	7	7	7	7
6	6	6	7	5	5	6	4	6	5	6	4	5	6	4	5
7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
5	4	5	6	6	5	5	6	2	2	3	2	5	5	6	5
7	7	6	5	7	7	7	5	7	7	6	4	5	5	5	5
6	6	6	6	7	7	7	4	6	5	7	7	6	6	7	4
6	5	6	6	6	5	6	6	6	5	6	5	6	6	6	6
7	5	6	6	7	7	7	7	7	7	7	7	6	6	5	6
7	7	4	4	7	7	7	6	7	6	7	7	3	3	3	3
6	7	6	7	6	7	6	7	6	6	7	7	6	7	5	5
6	5	5	4	6	5	6	4	6	6	6	6	5	5	5	5
6	6	7	6	6	6	6	5	6	7	6	6	5	6	6	5
7	7	7	7	7	7	7	7	7	7	7	7	6	6	6	6
7	7	7	7	7	7	7	7	7	6	7	7	5	5	5	5
7	7	7	7	7	7	7	7	7	7	7	7	5	5	5	5
6	7	5	6	6	6	6	6	5	5	4	5	5	6	6	5
7	7	7	7	7	7	7	7	7	5	6	5	7	7	7	7
7	7	7	7	7	7	7	7	5	5	7	7	7	7	7	7
7	7	7	7	7	7	7	7	6	6	7	7	7	7	7	7
6	5	6	6	6	5	6	5	6	5	6	6	6	6	5	6
7	7	7	7	7	7	7	7	7	6	7	7	7	7	6	6
4	4	4	4	7	6	5	4	6	4	6	2	3	4	4	4
7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	6	6	6	6	7	6	6	6	5	6	6	6
7	7	7	7	7	7	7	5	6	6	5	5	7	7	7	5
5	7	3	4	5	5	6	5	5	6	7	6	5	4	6	5
3	3	4	5	5	4	5	5	5	5	6	4	5	5	4	5
7	7	7	7	7	7	7	6	6	6	7	6	7	7	7	7
6	5	6	6	5	5	6	5	5	5	6	6	6	6	6	4
7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	6	6	6	6	6	6	6	5
7	5	4	6	7	7	7	5	7	5	6	4	5	5	5	4
7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7	5	5	5	5
5	5	5	5	1	1	3	3	4	4	4	4	4	4	4	4
6	6	6	4	6	6	6	6	5	5	5	5	6	6	6	6
5	5	4	5	5	5	6	5	5	6	5	6	5	5	5	5
6	6	6	4	7	7	7	7	7	7	7	7	6	7	7	5
5	6	6	6	6	6	6	6	6	6	5	5	6	6	5	5
6	6	6	6	6	6	6	5	5	6	6	6	5	5	6	5
5	3	6	6	5	4	5	4	4	4	4	5	5	6	6	5
6	6	5	5	6	6	6	5	6	5	5	5	6	5	5	5
6	6	4	5	6	6	6	6	6	6	7	6	6	6	6	6
6	6	6	6	7	7	7	5	5	5	7	7	5	6	4	4
7	7	7	7	6	6	6	6	7	7	7	7	6	6	6	6
7	7	7	7	7	7	7	7	7	7	7	6	6	6	6	6
5	5	4	4	5	5	5	5	6	5	6	5	4	4	5	4
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
7	7	6	6	6	6	6	6	5	6	6	6	6	6	6	6
7	7	7	7	7	7	7	7	7	7	7	7	5	4	1	4
7	7	7	7	7	7	7	7	7	7	7	7	6	7	5	6
6	6	6	6	4	4	4	4	5	5	5	5	4	4	4	4
7	7	7	7	6	6	6	6	6	6	6	6	5	5	5	5
6	6	5	6	6	6	6	6	5	5	6	6	5	6	5	5
7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	6	7	7	5	5	6	4
6	6	6	6	7	7	7	7	6	6	6	6	6	6	6	6
6	6	6	6	7	7	7	7	6	6	6	6	6	6	6	6
5	5	5	5	3	3	4	4	5	5	5	5	5	5	5	5
6	7	6	6	6	6	6	6	7	7	7	7	7	7	7	7
6	6	5	5	6	6	7	6	6	6	6	5	6	7	6	6
7	7	7	7	7	7	7	7	7	7	7	7	6	6	6	6
7	5	4	5	7	6	7	6	6	6	4	4	5	5	5	4
6	6	6	6	5	5	5	5	5	4	5	6	6	6	6	6
7	7	7	7	7	7	7	7	7	7	7	7	6	6	6	6
7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
5	6	5	5	6	6	6	6	5	6	5	5	6	5	5	6
6	5	6	6	6	5	6	5	6	6	6	5	5	6	5	5
7	7	6	6	7	7	7	6	7	6	6	5	6	6	5	5
7	7	6	6	7	7	7	7	6	7	7	7	7	7	7	7
5	7	6	7	7	7	7	6	6	6	5	4	6	5	4	4
6	6	6	7	7	6	7	6	6	5	5	5	6	6	6	5
5	6	6	6	7	7	7	7	7	7	6	6	6	4	4	6
6	5	6	6	5	6	6	5	6	5	6	5	5	5	6	5
6	6	6	6	6	7	6	6	6	6	7	7	5	5	6	5
7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7
